Titles for 2017 from The New York Times,
860.     ,A Trump Travel Ban We’ve Seen Before Editorial
861.     ,Advocate for Tough Voting Rules to Steer Trump’s Elections Commission
862.     ,A Bond Over Bucking the Establishment
863.     ,When's the Wedding?
864.     ,When’s the Wedding? It Already Happened (Shh). Social Q’s
865.     ,"Jeff Sessions, a Lifelong Outsider, Finds the Inside Track"
866.     ,Trump Administration Ends Temporary Protection for Haitians
867.     ,"59,000 Haitians Must Leave U.S. As White House Ends Protections"
868.     ,Surge of Migrants Into Quebec Tests Canada's Welcome
869.     ,Case Study in Chaos: Management Experts Grade a Trump White House
870.     ,U.S. Drops Order Demanding Twitter Unmask an Anti-Trump Account
871.     ,"In Leadership Vote, the Democrats Have Something Else on Their Minds"
872.     ,Officials in U.S. and India Condemn Shooting of Sikh Man in Washington State
873.     ,Trump Policy Impact on Real Estate Still Unclear
874.     ,Case Study in Chaos: How Management Experts Grade a Trump White House Common Sense
875.     ,"A Daughter's Death, a Mission to Protect the Vulnerable"
876.     ,"On Long Island, Officials Plead for Help in Stopping MS-13"
877.     ,California Today: Defying Trump With Sanctuary Bill California Today
878.     ,Twitter Sues U.S. to Shield Account Critical of Trump
879.     ,Canada: Leader of the Free World Op-Ed Columnist
880.     ,California Today: Measuring the Snowpack From the Sky California Today
881.     ,Legal Challenges Mount Against Trump’s Travel Ban
882.     ,"Teenagers, Anxiously Living Under the Radar"
883.     ,Legal Challenges Mount Against Travel Ban Ordered by Trump
884.     ,"In Germany , the Center Holds Op-Ed Contributor"
885.     ,Trump's Signing of Immigrant Ban Puts Pentagon in Uncomfortable Light
886.     ,"Review: Immigrants ‘From Nowhere,’ Anxiously Living Under the Radar"
887.     ,The Tax Overhaul; Microsoft 's C.E.O. on Equality: DealBook Briefing
888.     ,Friend of San Bernardino Attacker to Plead Guilty
889.     ,Friend of San Bernardino Attacker Will Plead Guilty to Supplying Guns
890.     ,Homeland Security Nominee Addresses Borders and Experience in Senate Hearings
891.     ,Supreme Court Weighs Immigrants’ Rights to Have Detention Reviewed
892.     ,"More Tourists, a Few Tears and Plenty of Soul-Searching"
893.     ,California Today: A Journalism Scandal Roils the Central Coast California Today
894.     ,Far-Right German Party Poised to Break a Taboo
895.     ,Austria ’s Rightward Lurch Is Europe’s New Normal
896.     ,Ending a Misguided Cuban Migration Policy Editorial
897.     ,"1917, Still Reverberating Today"
898.     ,"While New York Mourns, the President Postures Editorial"
899.     ,Far-Right German Party Is Poised to Break Postwar Taboo
900.     ,Trump Falsely Denounces Jeff Flake by Calling Him a ... Democrat? Fact Check
901.     ,"Rebuke Is a Stretch, Even for the President"
902.     ,Daily Report: Intel Looks For a Middle Path to the White House Bits
903.     ,Trump’s Support for Law to Protect ‘Dreamers’ Lifts Its Chances
904.     ,"MS-13 Gang Members Arrested in Girls’ Killings on Long Island, Police Say"
905.     ,"State Police Will Help Battle MS-13, Cuomo Says"
906.     ,Norway Premier Declares Victory as Center-Right Coalition Secures Majority
907.     ,Donald Trump's Australia
908.     ,Preparing for a Summer Of Help-Wanted Signs
909.     ,Arkansas Senator Supplies Trump With Policy to Match Rhetoric
910.     ,"After Court Victory, Detained Teenage Immigrants Are Allowed to Obtain Abortions"
911.     ,Justice Dept. May Back Off Police Audits
912.     ,"Angling for a Comeback, Democratic Governors Sharpen Focus on Jobs"
913.     ,Donald Trump’s Australia Contributing Op-Ed Writer
914.     ,Sessions Indicates Justice Department Will Stop Monitoring Troubled Police Agencies
915.     ,"In Blow to Tech Industry, Trump Shelves Start-Up Immigrant Rule"
916.     ,"Heroin in Wafers, Soups and Lollipops: How Drug Cartels Evade Border Security"
917.     ,"As Trump’s Coach, Senator Cotton Provides Policy to Match Rhetoric Political memo"
918.     ,Daily Report: Dizzying Regulatory Changes for Tech Industry Bits
919.     ,"Why Did Trump Work Again With Democrats? ‘He Likes Us,’ Schumer Says"
920.     ,White Nationalism Is the Real Existential Threat to the West. Not Jihad.
921.     ,Trump Inaccurately Claims ‘Firsts’ in Defense Speech Fact Check
922.     ,U.S. Blinks in Clash With Twitter ; Drops Order to Unmask Anti-Trump Account
923.     ,White Nationalism Is Destroying the West Opinion
924.     ,Judge Who Blocked Trump's Refugee Order Praised for 'Firm Moral Compass'
925.     ,Activism Hits the Older Tech Companies
926.     ,"Silicon Valley Still Has Far to Go on Gender Equality, Microsoft C.E.O. Says"
927.     ,Austria Shifts Right as the Refashioned Conservatives Win in an Election Upset
928.     ,Dutch Leader Takes Trump-Like Turn in Face of Hard-Right Challenge
929.     ,Phone Booths Are Back in Times Square. No Quarters Required.
930.     ,Enemy Within
931.     ,Farhad’s and Mike’s Week in Tech: An Upwelling of Outrage Against a Presidential Action Bits
932.     ,"Tech Opposition to Trump Propelled by Employees, Not Executives"
933.     ,"In a Week, Trump Reshapes Decades of Perceptions About America"
934.     ,Quebec Mosque Attack Forces Canadians to Confront a Strain of Intolerance
935.     ,British Labour Leader Tries to Recast Image and Views on Migrants
936.     ,Business Leaders Urge Trump to Keep Shield in Place
937.     ,Trump Will Take an Improvised Approach With a Wave of Executive Actions
938.     ,The Strangers in Their Midst
939.     ,‘Dreamers’ Find Allies in Trump’s Business World
940.     ,Trump Policy Impact on Real Estate Still Unclear
941.     ,The Tax Overhaul; Microsoft ’s C.E.O. on Equality: DealBook Briefing
942.     ,"Law-Abiding but Illegal, and Fearing the New Trump Rules"
943.     ,Department of Justification Feature
944.     ,The Minuscule Importance of Manufacturing in Far-Right Politics Trade Imbalance
945.     ,Yemenis Shut Stores and Hold Rally to Protest Trump Ban
946.     ,"Wall Street Reassures Employees, Without Wholly Rejecting Travel Ban"
947.     ,"On Social Media, a Game Awash in Politics"
948.     ,"After a Nominator Is Denied Access, ‘1984’ Is Ineligible for Tonys"
949.     ,"Fleeing U.S. for Asylum, and Handcuffed in Canada"
950.     ,"Law-Abiding but Illegal, and Fearing the New Trump Rules About New York"
951.     ,"Canada, Leading the Free World Op-Ed Columnist"
952.     ,Homeland Security Pick Defends Her Experience Amid Democrats’ Questions
953.     ,Border Advice for Muslims Alarms Australian Official — but It Came From His Department
954.     ,"Wall Street Reassures Employees, Without Wholly Rejecting Travel Ban"
955.     ,"629,000 Overstayed U.S. Visas Last Year, Report Says"
956.     ,"Canada, Leading the Free World"
957.     ,Homeland Security Prepares to Issue Travel Restrictions
958.     ,Campus Politics in the Age of Trump
959.     ,‘The Siren Calls of the Left’ Op-Ed Columnist
960.     ,Mar-a- Lago and the Charity Circuit
961.     ,Mar-a- Lago and the Charity Circuit Letters
962.     ,The Kushners and Their Golden Visas Editorial
963.     ,"Australian Refugee Camp on Manus Island Is Closing, Detainees Say"
964.     ,Australia Says Trump Will Honor One-Time Deal to Accept Refugees
965.     ,"In Fight for Judiciary Slot, Democrats Broach the ‘I’ Word: Impeachment"
966.     ,How the California Wildfire Was Falsely Pinned on an Immigrant
967.     ,Twitter Sues the Government to Block the Unmasking of an Account Critical of Trump
968.     ,Austria Is Poised to Shift Sharply Right in Election
969.     ,"Imam in Switzerland Urged Burning of Muslims Who Don't Pray, Prosecutors Say"
970.     ,Echoes of the War in Algeria Reverberate in French Politics
971.     ,Department of Justification
972.     ,California Today: Renewed Scrutiny of Sanctuary Bill California Today
973.     ,"A Full Border Wall With Mexico ? ‘Unlikely,’ Homeland Security Chief Says"
974.     ,The Kushners and Their Golden Visas
975.     ,Sessions Vows To Enforce Bribery Law Trump Jeered
976.     ,"Revisiting 1917, a Year That Reverberates for Jews Around the World"
977.     ,"Steve King, Hurling Insults at Immigrants, Is Rebuked by His Own Party"
978.     ,"‘Dreamer’ Plan That Aided 800,000 Immigrants Is Threatened"
979.     ,Dutch Vote Watched Across Europe With a Finger in the Wind
980.     ,Tech Also Did Some Good Things in 2017. No Joke.
981.     ,Bill Would Give Green Cards to Sept. 11 Volunteers
982.     ,"Some Things About Tech Were Good in 2017. No, Really. The Shift"
983.     ,"Hurling Insults, Then Rebuked by Own Party"
984.     ,Microsoft C.E.O. Says Tech’s Progress on Gender Equality Is ‘Not Sufficient’
985.     ,U.N. Says Australia Has Broken a Pledge to Admit Some Offshore Refugees
986.     ,St. Patrick’s Day Events Highlight an Irish Divide Over Trump
987.     ,Border Agent’s Death Highlights Growing Risk of Remote Patrols
988.     ,He's a Local Pillar. Now He Could Be Deported.
989.     ,Border Agent's Death Highlights Growing Risk to Patrols in Remote Areas
990.     ,"Hungary to Detain Asylum Seekers, Angering Rights Advocates"
991.     ,Papua New Guinea 's Police Storm Manus Island Refugee Camp
992.     ,"Summer Reading Contest Winner, Week 3 | On ‘The Muggle Problem’ Contests"
993.     ,"Shore Leave, Sort Of Op-Docs"
994.     ,A Nightmare for Immigrants Is Great for Stocks
995.     ,President Trump’s Reckless Shame Game Editorial
996.     ,Mr. Trump's Reckless Shame Game
997.     ,Donald Trump’s Cowardice on ‘Dreamers’ Editorial
998.     ,Ninth Circuit Judges Rule Against Latest Travel Ban
999.     ,Mr. Trump's Cowardice on 'Dreamers'
1000,"  Too Scared to Report Abuse , For Fear of Being Deported"
